variant,defect,CM-01,CM-02,CM-03,CM-04,CM-05,CM-06,CM-07,CM-08,CM-09,CM-10,CM-11,CM-12,CM-13,CM-14,CM-15,CM-16,CM-17,CM-18,CM-19,CM-20,CM-21,CM-22,CM-23,CM-24,CM-25,CM-26,CM-27,CM-28
V1,Placeholder text (TBD / open questions) left in fields,,0.0,0.0,-80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,
V2,System overview and scope description removed,,0.0,-40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-80.0,-80.0,-80.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,
V3,Components added with no linked threat,,0.0,0.0,0.0,0.0,-80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,
V4,Network-facing interfaces left unattacked,,0.0,0.0,0.0,0.0,0.0,-40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,
V5,Protection goals never referenced by any threat,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,
V6,Threat descriptions reduced to single keywords,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-80.0,0.0,,0.0,0.0,0.0,,-80.0,-40.0,0.0,,
V7,Rating-justification comments blanked,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-80.0,-80.0,0.0,,0.0,0.0,0.0,,
V8,Risk rating contradicts impact x likelihood,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-80.0,0.0,0.0,,0.0,0.0,0.0,,
V9,Near-identical threats cloned (duplicates),,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,-80.0,0.0,0.0,,
V10,Inconsistent version and date metadata,,-80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,
V11,Assumptions marked unvalidated and unlinked,,0.0,0.0,0.0,-40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,
V12,Rating or treatment fields dropped,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-80.0,,,0.0,-40.0,0.0,,
V13,Keyword-stuffed evasion (verbose but non-distinctive wording),,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-80.0,0.0,,0.0,0.0,0.0,,-80.0,0.0,0.0,,
