variant,overall,Process & Governance,Formal Completeness,Coverage,Consistency & Traceability,Comprehensibility
V0,89.6,100.0,86.7,86.7,86.7,100.0
V1,86.1,100.0,60.0,86.7,86.7,100.0
V2,77.4,100.0,73.3,77.8,86.7,60.0
V3,86.1,100.0,86.7,77.8,86.7,100.0
V4,87.8,100.0,86.7,82.2,86.7,100.0
V5,87.8,100.0,86.7,82.2,86.7,100.0
V6,81.7,100.0,86.7,86.7,65.7,90.0
V7,82.6,100.0,86.7,86.7,60.0,100.0
V8,86.1,100.0,86.7,86.7,73.3,100.0
V9,83.3,100.0,86.7,86.7,65.7,100.0
V10,86.1,20.0,86.7,86.7,86.7,100.0
V11,87.8,100.0,73.3,86.7,86.7,100.0
V12,87.3,100.0,86.7,86.7,84.0,90.0
V13,83.3,100.0,86.7,86.7,65.7,100.0
